Crash Record Number,County Code,County Name,Municipality Code,Municipality Name,District Code,District Name,Police Agency Code,Police Agency Name,Crash Year,Crash Month,Time of Day,Hour of Day,Illumination,Road Condition,Collision Type,Urban / Rural,Fatality Count,Injury Count,Person Count,Total Unit Count,Latitude,Longitude,Vehicle Count,Suspected Serious Injury Count,Suspected Minor Injury Count,Possible Injury Count,Total Injury Count,16 Year Old Driver Count,17 Year Old Driver Count,18 Year Old Driver Count,19 Year Old Driver Count,20 Year Old Driver Count,50-64 Year Old Driver Count,65-74 Year Old Driver Count,75 Plus Year Old Driver Count,Unbelted Occupant Count,Latitude (Decimal),Longitude (Decimal),Interstate,State Road,Local Road Only,Turnpike,Injury,Fatal,Alcohol Related,Drinking Driver,Underage Drinking Driver,Unlicensed,Distracted,Cell Phone,No Clearance,Running Red Light,Tailgating,Speeding,Speeding Related,Aggressive Driving,Fatigue / Asleep,Unbelted,NHTSA Aggressive Driving,Running Stop Sign,Hit Parked Vehicle,Suspected Serious Injury,Suspected Minor Injury,Drug Related,Illegal Drug Related,Drugged Driver,Impaired Driver,Geographic Location of the Crash
2010057890,64,Westmoreland,64209,Hempfield Twp,12,District 12-0,68T09,PSP - New Stanton,2010,6,1839,18,Daylight,Dry,Sideswipe (same dir.),Urban,0,1,2,2,40 16:15.780,79 40:05.253,2,0,1,0,1,0,0,0,0,0,2,0,0,0,40.2706,-79.6681,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,1,0,0,0,0,"(40.2706, -79.6681)"
2016091993,36,Lancaster,36213,East Earl Twp,08,District 8-0,36213,EAST EARL TWP,2016,9,1107,11,Daylight,Dry,Angle,Rural,0,0,3,2,40 07:22.117,76 01:22.865,2,0,0,0,0,0,0,0,0,0,0,0,0,0,40.1228,-76.023,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,No,0,0,0,0,0,0,0,0,0,"(40.1228, -76.023)"
1999100366,67,Philadelphia,67301,Philadelphia City,06,District 6-0,67301,PHILADELPHIA CITY,1999,9,1945,19,Dark street lights,Dry,Other or Unknown,Urban,0,4,5,2,,,2,0,0,4,4,0,0,0,0,0,0,0,0,0,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,1,0,0,0,0,0,0,
2006067790,23,Delaware,23207,Middletown Twp,06,District 6-0,68K02,PSP - Media,2006,5,1343,13,Daylight,Dry,Head-on,Urban,0,0,2,2,39 52:12.000,75 24:31.436,2,0,0,0,0,0,0,0,0,0,0,0,0,0,39.8699,-75.4087,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,No,0,0,0,0,0,0,0,0,0,"(39.8699, -75.4087)"
2014092646,36,Lancaster,36301,Lancaster City,08,District 8-0,36301,LANCASTER CITY,2014,9,2216,22,Dark street lights,Dry,Angle,Urban,0,0,3,2,40 02:42.261,76 17:01.349,2,0,0,0,0,1,0,0,0,0,0,0,0,0,40.045,-76.2837,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,No,0,0,0,0,0,0,0,0,0,"(40.045, -76.2837)"
1998128558,48,Northampton,48101,Bethlehem Twp,05,District 5-0,48101,BETHLEHEM TWP,1998,12,1312,13,Daylight,Wet,Head-on,Urban,0,1,3,2,40 38:14.640,75 20:06.360,2,0,0,0,0,0,0,0,0,0,0,1,0,0,40.6372,-75.3352,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,No,0,0,0,0,0,0,0,0,0,"(40.6372, -75.3352)"
2006045448,22,Dauphin,22203,East Hanover Twp,08,District 8-0,68H01,PSP - Harrisburg,2006,3,9999,99,Dark no street lights,Dry,Hit fixed object,Rural,0,0,1,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,
2004092212,02,Allegheny,02301,Pittsburgh City,11,District 11-0,02301,PITTSBURGH CITY,2004,4,2203,22,Dark street lights,Other,Sideswipe (same dir.),Urban,0,0,1,2,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,No,1,1,1,0,0,0,0,0,0,
2005131047,48,Northampton,48217,Williams Twp,05,District 5-0,68M06,PSP - Belfast,2005,4,0553,5,Daylight,Sand/mud/dirt/oil/or gravel,Hit fixed object,Rural,0,1,1,1,40 38:55.000,75 12:11.822,1,0,0,1,1,0,0,0,0,0,0,0,0,0,40.6489,-75.2031,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,No,1,0,0,0,0,0,0,0,0,"(40.6489, -75.2031)"
2012080342,45,Monroe,45215,Tobyhanna Twp,05,District 5-0,45501,POCONO MOUNTAIN REGIONAL,2012,8,0914,9,Daylight,Dry,Rear-end,Rural,0,0,2,2,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,
2002031011,09,Bucks,09208,Falls Twp,06,District 6-0,09208,FALLS TWP,2001,10,1130,11,Daylight,Dry,Angle,Urban,0,1,2,2,40 10:55.200,74 47:13.200,2,0,1,0,1,0,0,0,0,0,1,0,0,0,40.1818,-74.7872,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,No,1,0,0,0,1,0,0,0,0,"(40.1818, -74.7872)"
2017068443,15,Chester,15219,Honey Brook Twp,06,District 6-0,68J03,PSP - Embreeville,2017,6,0739,7,Daylight,Dry,Rear-end,Rural,0,1,2,2,40 04:24.665,75 50:01.619,2,0,1,0,1,0,0,0,0,0,0,0,1,0,40.0735,-75.8338,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,No,0,0,0,0,1,0,0,0,0,"(40.0735, -75.8338)"
1998134222,23,Delaware,23111,Upper Darby Twp,06,District 6-0,23111,UPPER DARBY TWP,1998,11,1245,12,Daylight,Dry,Other or Unknown,Urban,0,0,1,2,,,2,0,0,0,0,0,0,0,0,0,0,0,1,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,1,0,0,0,0,0,0,
2006089327,02,Allegheny,02301,Pittsburgh City,11,District 11-0,02301,PITTSBURGH CITY,2006,8,0839,8,Daylight,Dry,Rear-end,Urban,0,0,3,3,40 24:07.000,80 00:02.245,3,0,0,0,0,0,0,0,0,0,1,0,0,0,40.402,-80.0006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,"(40.402, -80.0006)"
2005116355,67,Philadelphia,67301,Philadelphia City,06,District 6-0,67301,PHILADELPHIA CITY,2002,5,1546,15,Daylight,Dry,Hit fixed object,Urban,0,1,1,1,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,
2012038591,07,Blair,07301,Altoona City,09,District 9-0,07301,ALTOONA CITY,2012,4,1805,18,Daylight,Dry,Rear-end,Urban,0,0,2,2,40 30:45.691,78 24:22.382,2,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5127,-78.4062,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,"(40.5127, -78.4062)"
2013004411,67,Philadelphia,67301,Philadelphia City,06,District 6-0,67301,PHILADELPHIA CITY,2012,12,1710,17,Dusk,Wet,Rear-end,Urban,0,0,5,3,40 05:14.015,75 02:28.339,3,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0872,-75.0412,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,"(40.0872, -75.0412)"
2009065415,67,Philadelphia,67301,Philadelphia City,06,District 6-0,67301,PHILADELPHIA CITY,2007,5,1359,13,Daylight,Dry,Rear-end,Urban,0,1,3,2,39 59:55.564,75 07:52.531,2,0,0,0,1,0,0,0,0,0,0,0,0,0,39.9988,-75.1313,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,No,0,0,0,0,0,0,0,0,0,"(39.9988, -75.1313)"
2017024090,02,Allegheny,02113,Penn Hills Twp,11,District 11-0,02113,PENN HILLS,2017,3,1451,14,Daylight,Dry,Angle,Urban,0,0,2,2,40 27:10.157,79 49:33.562,2,0,0,0,0,0,0,1,0,0,0,0,0,0,40.4528,-79.826,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,No,0,0,0,0,0,0,0,0,0,"(40.4528, -79.826)"
